,weather_main,weather,wind
259,dry,Sunny,False
260,dry,Sunny,False
261,dry,Temperatures approaching 26.3 °C (79.3 °F);,False
262,dry,Sunny,False
263,dry,Sunny,False
264,dry,Sunny,False
265,dry,Sunny,False
266,dry,Sunny,False
267,dry,Sunny,False
268,dry,Sunny,False
269,dry,Sunny,False
270,wet,"Heavy rain, followed by light showers",False
271,dry,Sunny with clouds,False
272,wet,"Very hot and humid, with torrential thunderstorms. Air temp: 33 °C (91 °F)",False
273,changing,Dry first then torrential rain for a short period; later drying and staying dry for the rest of the race,False
274,changing,"Very cold, rain with dry spells",False
275,changing,"Wet at start, dry later",False
276,dry,Sunny,False
277,dry,"Partly cloudy, mild, dry",False
278,dry,Temperatures reaching up to 29.0 °C (84.2 °F);,False
279,nan,,False
280,dry,Dry,False
281,dry,Dry,False
282,nan,,False
283,dry,Sunny and clear,False
284,dry,Hot and sunny,False
285,dry,"Dry, sunny, windy",True
286,changing,"Dry/wet, warm, cloudy",False
287,dry,Sunny,False
288,dry,"Hot, dry and dull",False
289,dry,Scattered Clouds,False
290,dry,Dry,False
291,changing,"Dry at start, wet later",False
292,dry,Sunny,False
293,dry,Dry,False
294,dry,Dry with temperatures reaching up to 25 °C (77 °F);,False
295,changing,"Dry, then raining",False
296,dry,Dry,False
297,dry,Dry,False
298,dry,Dry,False
299,changing,"Overcast, brief rain mid-race",False
300,dry,Sunny and warm,False
301,dry,"Dry, sunny, windy",True
302,dry,"Dry, warm, cloudy",False
303,dry,Cloudy,False
304,dry,Overcast,False
305,changing,"Cloudy at start, rainy later. Ambient temperature: 29.4°C (85°F).",False
306,changing,"Wet at start, dry by finish",False
307,dry,"Cloudy, mild, dry",False
308,dry,Mild with temperatures approaching 25 °C (77 °F);,False
309,dry,Mostly Cloudy,False
310,nan,,False
311,dry,"Hot, dry, sunny",False
312,dry,Hot and sunny,False
313,dry,"Hot dry, sunny",False
314,dry,Sunny and hot,False
315,dry,Sunny and warm,False
316,dry,Sunny and warm,False
317,dry,"Warm and overcast, drying",False
318,dry,"Sunny, warm",False
319,wet,Torrential rain,False
320,dry,Cloudy and cool with temperatures reaching up to 18 °C (64 °F),False
321,dry,"Hot, dry, sunny",False
322,dry,"Warm, dry, sunny",False
323,dry,"Warm, dry, sunny",False
324,dry,Warm and cloudy with temperatures approaching 19.8 °C (67.6 °F); wind speeds up to 27.8 kilometres per hour (17.3 mph),False
325,dry,Overcast,False
326,dry,"Hot, dry, sunny",False
327,dry,"Hot, dry, sunny",False
328,dry,"Hot, dry, sunny",False
329,dry,Dry,False
330,dry,Dry,False
331,dry,"Hot, dry, sunny",False
332,nan,,False
333,dry,"Dry, hot, sunny",False
334,dry,Sunny,False
335,dry,Sunny,False
336,dry,Sunny,False
337,changing,Overcast with light rain at start,False
338,dry,"Mainly cloudy, dry",False
339,changing,"Cloudy, rain",False
340,dry,"Mainly cloudy, dry",False
341,dry,"Mainly cloudy, dry",False
342,dry,Air: 28 to 29 °C (82 to 84 °F) Track: 39 to 49 °C (102 to 120 °F),False
343,dry,Warm with temperatures approaching 26 °C (79 °F); wind speeds up to 4.9 kilometres per hour (3.0 mph),False
344,dry,Dry,False
345,dry,Mainly sunny,False
346,dry,"Mainly cloudy, dry",False
347,dry,Mainly sunny,False
348,wet,Intermittent rain,False
349,dry,Sunny,False
350,dry,"Clear; Air temp 29 to 30 °C (84 to 86 °F), Track temp 31 °C (88 °F)",False
351,dry,Sunny,False
352,wet,"Rain. Air 20 °C (68 °F), Track 18 °C (64 °F)",False
353,dry,Clear; 25 °C (77 °F),False
354,dry,"[<p>Dry<sup class=""reference"" id=""cite_ref-weather_3-0""><a href=""#cite_note-weather-3"">[3]</a></sup>
Air Temp 28 °C (82 °F)<sup class=""reference"" id=""cite_ref-weather_3-1""><a href=""#cite_note-weather-3"">[3]</a></sup>
</p>]",False
355,dry,"Very hot, dry, sunny",False
356,dry,"Warm, dry, sunny",False
357,dry,"Warm, dry, sunny",False
